Bus,  3-Phase,  1-Phase,  L-L
DMUM_FF90E4431,       2268,       1135,       1965
BVIRT_SF90E4501,       2249,       1125,       1948
BVIRT_SJ32E1001,       2476,       1244,       2144
BVIRT_D_RJ32E1022,       2461,       1238,       2131
BVIRT_FF90E4120,       2379,       1193,       2060
BVIRT_SI02E3446,       2626,       1308,       2274
PA_D_FI02E3585,       2665,       1329,       2308
DMUM_FI02E3585,       2664,       1329,       2307
PA_D_FI83E1122,       2672,       1333,       2314
PA_D_I83E1000,       2662,       1329,       2305
PA_D_I02E3620,       2676,       1335,       2318
DMUM_FI83E1122,       2550,       1289,       2208
PA_D_I02E3647,       2687,       1340,       2327
PA_D_FI02E3681,       2698,       1346,       2336
DMUM_FI02E3681,       2697,       1346,       2335
PA_D_I02E3821,       2746,       1372,       2378
PA_D_FI02E3869,       2759,       1379,       2389
DMUM_FI02E3869,       2758,       1379,       2388
PA_D_I02E4099,       2834,       1419,       2454
PA_D_FI02E4204,       2872,       1440,       2487
DMUM_FI02E4204,       2871,       1439,       2486
PA_D_FI02E4262,       2894,       1451,       2506
BVIRT_FI02E4262,       2893,       1451,       2505
DMUM_SI02E4385,       2940,       1476,       2546
DMUM_SF90E4501,       2248,       1125,       1947
DMUM_SF90E4563,       2231,       1116,       1932
PA_E_-1052955,       2115,       1086,       1831
PA_E_-1052957,       2101,       1081,       1820
PA_E_-1052953,       2117,       1087,       1834
PA_E_-1052959,       2077,       1072,       1799
PA_E_-1052951,       2138,       1094,       1852
PA_E_-1052961,       2057,       1064,       1781
PA_E_-1052963,       2041,       1058,       1768
PA_D_3243   ,       2301,       1153,       1993
PA_E_-1052965,       2023,       1051,       1752
DMUM_FF90E4362,       2305,       1155,       1996
PA_E_-1052967,       2009,       1046,       1740
PA_E_-1052969,       2007,       1045,       1738
PA_E_-1052971,       1975,       1033,       1710
PA_E_-1052973,       1926,       1014,       1668
PA_E_-1052975,       1895,       1003,       1641
BVIRT_FZ04L1127,       1866,        991,       1616
BVIRT_FF90E4431,       2268,       1135,       1964
PA_D_RJ32E1022,       2460,       1238,       2130
DMUM_RJ32E1022,       2457,       1237,       2128
DMUM_6J32E1022,       2458,       1238,       2129
DMUM_FI02E4262,       2891,       1451,       2504
BVIRT_FI02E3585,       2663,       1328,       2306
DMUM_SI02E3446,       2625,       1308,       2273
PA_D_FI02E3422,       2614,       1302,       2264
BVIRT_FI02E3422,       2613,       1302,       2263
PA_D_FI02E3347,       2592,       1290,       2245
BVIRT_FI02E3347,       2591,       1290,       2244
PA_E_-1554060,       2582,       1285,       2236
BVIRT_SI02E3152,       2536,       1261,       2196
BVIRT_FI83E1122,       2549,       1289,       2207
BVIRT_FI02E3681,       2695,       1346,       2334
PA_D_O32L1000,       2678,       1340,       2319
PA_D_O32L1175,       2530,       1287,       2191
PA_D_TO87L1201,       2527,       1286,       2189
PA_D_O87L1115,       2434,       1252,       2108
PA_EL_1249483,       2336,       1215,       2023
BVIRT_FI02E3869,       2756,       1378,       2387
BVIRT_FI02E4204,       2870,       1439,       2485
PA_D_F90E4876,       2155,       1077,       1867
PA_D_F90E4922,       2144,       1071,       1857
PA_D_F90E4963,       2133,       1065,       1847
PA_D_F90E4668,       2201,       1100,       1906
PA_D_F90E5007,       2121,       1059,       1837
PA_E_-11038766,       2218,       1109,       1921
PA_D_RG_F90E5009,       2121,       1059,       1836
BVIRT_SF90E4563,       2230,       1116,       1931
PA_D_FF90E5031,       2115,       1056,       1831
BVIRT_FF90E5031,       2114,       1056,       1831
PA_D_FF90E5064,       2107,       1052,       1824
PA_D_D_TS57E0980,       2090,       1043,       1810
DMUM_FF90E5064,       2106,       1051,       1824
DMUM_FZ04L1127,       1866,        991,       1616
PA_D_J32E1388,       2250,       1156,       1948
PA_D_2812   ,       2230,       1148,       1931
PA_D_2813   ,       2214,       1141,       1918
PA_M_M_FJ32E1485,       2330,       1187,       2017
PA_M_FJ32E1485,       2202,       1136,       1907
PA_D_FJ32E1485,       2195,       1133,       1901
PA_D_6J32E1022,       2453,       1236,       2124
BVIRT_6J32E1022,       2451,       1235,       2123
BVIRT_RJ32E1022,       2456,       1237,       2127
BVIRT_SJ32E1767,       2066,       1080,       1789
PA_D_FF64E0005,       2320,       1148,       2009
DMUM_FF64E0005,       2308,       1143,       1999
PA_D_10489  ,       2332,       1154,       2019
