Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.26E2714_TR1, 0.001528567, 305.7023, 0.001528567, 0.05095718, 8.881784E-015, 305.6513
Transformer.61E1445_M_1, 0.001537541, 307.4972, 0.001537541, 0.05125636, 0, 307.4459
Transformer.35L1084_M_1, 0.00231153, 462.2892, 0.00231153, 0.07705847, -1.421085E-014, 462.2122
Transformer.51L0211_M_1, 0.001535179, 307.0244, 0.001535179, 0.05117756, -7.105427E-015, 306.9732
Transformer.94L1084_TR1, 0.00154058, 308.1055, 0.00154058, 0.05135776, -7.105427E-015, 308.0541
Transformer.55E1808_TR1, 0.0006120789, 122.4129, 0.0006120789, 0.02040487, 0, 122.3925
Transformer.61E1084_M_1, 0.02299062, 4597.997, 0.02299062, 0.7664351, 1.136868E-013, 4597.231
Transformer.93E0675_TR1, 0.002303764, 460.7369, 0.002303764, 0.07679973, -7.105427E-015, 460.6601
Transformer.93E0565_TR1, 0.001529028, 305.7951, 0.001529028, 0.05097265, 0, 305.7442
Transformer.98E1580_TR1, 0.002289958, 457.9746, 0.002289958, 0.07633928, 0, 457.8983
Transformer.98E1318_TR1, 0.004568628, 913.6905, 0.004568628, 0.1523021, 0, 913.5382
Transformer.36L1310_TR1, 0.003035595, 607.0982, 0.003035595, 0.1011965, 0, 606.9971
Transformer.93E0896_M_1, 0.001529113, 305.8127, 0.001529113, 0.05097558, -7.105427E-015, 305.7617
Transformer.55E1989_M_1, 0.001530218, 306.0322, 0.001530218, 0.05101217, 0, 305.9812
Transformer.83L1034_M_1, 0.001517798, 303.549, 0.001517798, 0.05059824, 0, 303.4984
Transformer.36L1428_M_1, 0.001518073, 303.6038, 0.001518073, 0.05060737, 0, 303.5532
Transformer.06E1605_TR1, 0.003047211, 609.4236, 0.003047211, 0.1015841, 1.421085E-014, 609.322
Transformer.36L1488_M_1, 0.001518427, 303.6749, 0.001518427, 0.05061923, 0, 303.6243
Transformer.50E0188_TR1, 0.001518731, 303.736, 0.001518731, 0.05062942, 7.105427E-015, 303.6854
Transformer.87E0416_TR1, 0.001519302, 303.8509, 0.001519302, 0.05064856, -7.105427E-015, 303.8002
Transformer.98E1042_M_1, 0.002300614, 460.1068, 0.002300614, 0.0766947, 0, 460.0301
Transformer.32E3228_M_1, 0.001518712, 303.7328, 0.001518712, 0.05062889, 8.881784E-015, 303.6822
Transformer.78L0804_M_1, 0.001518458, 303.6823, 0.001518458, 0.05062048, 0, 303.6317
Line.D_AGF01I2|D_AG3, 1337.379, 2417.907, 1337.379, 2417.907, 0, 0
Line.D_AG1|D_AG3, 4430.073, 8009.338, 4430.073, 8009.338, 0, 0
Line.AGF01I2|D_AGF01I2, 1086.62, 1964.547, 1086.62, 1964.547, 0, 0
Line.D_AG1|SG92E2724, 1337.382, 2417.92, 1337.382, 2417.92, 0, 0
Line.D_FH94E0506|D_F34E04, 1499.818, 2711.38, 1499.818, 2711.38, 0, 0
Line.D_SF34E0409|D_F34E04, 6078.217, 10988.27, 6078.217, 10988.27, 0, 0
Line.EL_115214280, 0.26555, -0.1023923, 0.26555, -0.1023923, 0, 0
